0.06866 	 0.24634 	 0.374814
0.05019 	 0.25424 	 0.494472
0.09953 	 0.28293 	 0.527956
0.06450 	 0.25184 	 0.394444
0.06682 	 0.22104 	 0.489363
0.06374 	 0.22838 	 0.273843
0.08880 	 0.40905 	 0.658988
0.07773 	 0.3161 	 0.582339
0.07575 	 0.26848 	 0.362725
0.05717 	 0.21342 	 0.398715
0.07610 	 0.45843 	 0.802567
0.06786 	 0.25793 	 0.457942
0.06819 	 0.25568 	 0.569686
0.07448 	 0.32747 	 0.640461
0.07922 	 0.31024 	 0.426094
0.07520 	 0.30685 	 0.524189
0.06140 	 0.46175 	 0.803819
0.09272 	 0.18715 	 0.387449
0.07942 	 0.36375 	 0.708555
0.06195 	 0.30362 	 0.481059
0.04967 	 0.18341 	 0.377594
0.09178 	 0.33346 	 0.713152
0.08714 	 0.2718 	 0.565093
0.05288 	 0.27072 	 0.479716
0.09785 	 0.3283 	 0.619472
0.08960 	 0.30193 	 0.51403
0.06063 	 0.43893 	 0.781863
0.07335 	 0.28325 	 0.615273
0.06447 	 0.41891 	 0.699738
0.07002 	 0.26502 	 0.525704
0.09320 	 0.29402 	 0.60478
0.08479 	 0.35174 	 0.664051
0.08191 	 0.26668 	 0.526776
0.05077 	 0.25717 	 0.520285
0.03752 	 0.33995 	 0.529277
0.07635 	 0.26015 	 0.59539
0.07263 	 0.18234 	 0.282881
0.05540 	 0.18806 	 0.337646
0.09204 	 0.29652 	 0.613266
0.05417 	 0.21798 	 0.356505
0.11757 	 0.39556 	 0.784372
0.10160 	 0.32763 	 0.497906
0.05284 	 0.27785 	 0.477972
0.04112 	 0.3103 	 0.517037
0.09112 	 0.43095 	 0.788424
0.09190 	 0.32441 	 0.629324
0.08936 	 0.36887 	 0.712074
0.06157 	 0.3182 	 0.642912
0.10463 	 0.34571 	 0.542254
0.07822 	 0.21787 	 0.268576
0.08414 	 0.24565 	 0.287006
0.05734 	 0.20604 	 0.384258
0.05597 	 0.22654 	 0.349779
0.09583 	 0.26325 	 0.294623
0.08892 	 0.35021 	 0.62142
0.07262 	 0.23577 	 0.480153
0.07545 	 0.24159 	 0.371515
0.07267 	 0.1752 	 0.347503
0.09455 	 0.24039 	 0.548398
0.09047 	 0.24537 	 0.521919
0.07766 	 0.28424 	 0.613786
0.06897 	 0.21765 	 0.229482
0.04047 	 0.16316 	 0.284713
0.05017 	 0.18483 	 0.397343
0.05933 	 0.21893 	 0.442728
0.05741 	 0.27106 	 0.496517
0.06618 	 0.18987 	 0.417271
0.04236 	 0.18765 	 0.284021
0.04339 	 0.1954 	 0.413398
0.05842 	 0.27747 	 0.472476
0.04004 	 0.19457 	 0.392121
0.04581 	 0.21724 	 0.402662
0.06989 	 0.2444 	 0.532489
0.06087 	 0.24613 	 0.468223
0.06480 	 0.2868 	 0.458332
0.05651 	 0.16859 	 0.292382
0.05773 	 0.19772 	 0.364201
0.05249 	 0.20164 	 0.421523
0.08957 	 0.22843 	 0.493069
